date,country,state,city,ibgeID,newCases,totalCases
2020-03-14,Brazil,MG,Juiz de Fora/MG,3136702,1,1
2020-03-14,Brazil,MG,Patrocínio/MG,3148103,1,1
2020-03-14,Brazil,SE,Aracaju/SE,2800308,1,1
2020-03-14,Brazil,ES,Linhares/ES,3203205,1,1
2020-03-14,Brazil,ES,Vitória/ES,3205309,1,1
2020-03-14,Brazil,SP,Carapicuíba/SP,3510609,1,1
2020-03-14,Brazil,SP,São Paulo/SP,3550308,0,62
2020-03-14,Brazil,RJ,Barra Mansa/RJ,3300407,0,1
2020-03-14,Brazil,ES,Vila Velha/ES,3205200,0,2
2020-03-14,Brazil,BA,Feira de Santana/BA,2910800,0,4
2020-03-14,Brazil,AL,Maceió/AL,2704302,0,1
2020-03-14,Brazil,SP,Santana de Parnaíba/SP,3547304,0,1
2020-03-14,Brazil,MG,Divinópolis/MG,3122306,0,1
2020-03-14,Brazil,RJ,Niterói/RJ,3303302,0,1
2020-03-14,Brazil,RS,Campo Bom/RS,4303905,0,1
2020-03-14,Brazil,RS,Caxias do Sul/RS,4305108,0,1
2020-03-14,Brazil,PR,Curitiba/PR,4106902,0,5
2020-03-14,Brazil,PR,Cianorte/PR,4105508,0,1
2020-03-14,Brazil,SP,Ferraz de Vasconcelos/SP,3515707,0,1
2020-03-14,Brazil,SC,Florianópolis/SC,4205407,0,2
2020-03-14,Brazil,MG,Ipatinga/MG,3131307,0,1
2020-03-14,Brazil,GO,Rio Verde/GO,5218805,0,1
2020-03-14,Brazil,RN,Natal/RN,2408102,0,1
2020-03-14,Brazil,BA,Salvador/BA,2927408,0,3
2020-03-14,Brazil,AM,Manaus/AM,1302603,0,1
2020-03-14,Brazil,SC,Joinville/SC,4209102,0,1
2020-03-14,Brazil,TOTAL,TOTAL,0,27,147
2020-03-15,Brazil,SP,São Paulo/SP,3550308,69,131
2020-03-15,Brazil,BA,Feira de Santana/BA,2910800,1,5
2020-03-15,Brazil,DF,Brasília/DF,5300108,6,14
2020-03-15,Brazil,PE,Recife/PE,2611606,1,7
2020-03-15,Brazil,BA,Salvador/BA,2927408,1,4
2020-03-15,Brazil,SC,Braço do Norte/SC,4202800,1,1
2020-03-15,Brazil,SP,São Bernardo do Campo/SP,3548708,1,1
2020-03-15,Brazil,SP,São Caetano do Sul/SP,3548807,1,1
2020-03-15,Brazil,CE,Fortaleza/CE,2304400,3,3
2020-03-15,Brazil,RJ,Barra Mansa/RJ,3300407,0,1
2020-03-15,Brazil,ES,Vila Velha/ES,3205200,0,2
2020-03-15,Brazil,RJ,Rio de Janeiro/RJ,3304557,0,22
2020-03-15,Brazil,AL,Maceió/AL,2704302,0,1
2020-03-15,Brazil,SP,Santana de Parnaíba/SP,3547304,0,1
2020-03-15,Brazil,MG,Divinópolis/MG,3122306,0,1
2020-03-15,Brazil,RJ,Niterói/RJ,3303302,0,1
2020-03-15,Brazil,RS,Campo Bom/RS,4303905,0,1
2020-03-15,Brazil,RS,Porto Alegre/RS,4314902,0,5
2020-03-15,Brazil,RS,Caxias do Sul/RS,4305108,0,1
2020-03-15,Brazil,PR,Curitiba/PR,4106902,0,5
2020-03-15,Brazil,PR,Cianorte/PR,4105508,0,1
2020-03-15,Brazil,SP,Ferraz de Vasconcelos/SP,3515707,0,1
2020-03-15,Brazil,SC,Florianópolis/SC,4205407,0,2
2020-03-15,Brazil,MG,Ipatinga/MG,3131307,0,1
2020-03-15,Brazil,GO,Rio Verde/GO,5218805,0,1
2020-03-15,Brazil,GO,Goiânia/GO,5208707,0,3
2020-03-15,Brazil,RN,Natal/RN,2408102,0,1
2020-03-15,Brazil,AM,Manaus/AM,1302603,0,1
2020-03-15,Brazil,SC,Joinville/SC,4209102,0,1
2020-03-15,Brazil,SC,Rancho Queimado/SC,4214300,0,2
2020-03-15,Brazil,PE,ESTRANGEIRO/PE,26,0,1
2020-03-15,Brazil,MS,Campo Grande/MS,5002704,0,2
2020-03-15,Brazil,MG,Juiz de Fora/MG,3136702,0,1
2020-03-15,Brazil,MG,Patrocínio/MG,3148103,0,1
2020-03-15,Brazil,SE,Aracaju/SE,2800308,0,1
2020-03-15,Brazil,ES,Linhares/ES,3203205,0,1
2020-03-15,Brazil,ES,Vitória/ES,3205309,0,1
2020-03-15,Brazil,SP,Carapicuíba/SP,3510609,0,1
2020-03-15,Brazil,TOTAL,TOTAL,0,84,231
2020-03-16,Brazil,SP,São Paulo/SP,3550308,14,145
2020-03-16,Brazil,ES,Vila Velha/ES,3205200,4,6
2020-03-16,Brazil,RJ,Rio de Janeiro/RJ,3304557,7,29
2020-03-16,Brazil,DF,Brasília/DF,5300108,5,19
2020-03-16,Brazil,RS,Porto Alegre/RS,4314902,3,8
2020-03-16,Brazil,PE,Recife/PE,2611606,6,13
2020-03-16,Brazil,RS,Caxias do Sul/RS,4305108,1,2
2020-03-16,Brazil,PR,Curitiba/PR,4106902,2,7
2020-03-16,Brazil,SC,Florianópolis/SC,4205407,1,3
2020-03-16,Brazil,GO,Rio Verde/GO,5218805,1,2
2020-03-16,Brazil,GO,Goiânia/GO,5208707,2,5
2020-03-16,Brazil,PE,ESTRANGEIRO/PE,26,2,3
2020-03-16,Brazil,MS,Campo Grande/MS,5002704,2,4
2020-03-16,Brazil,MG,Juiz de Fora/MG,3136702,1,2
2020-03-16,Brazil,SE,Aracaju/SE,2800308,4,5
2020-03-16,Brazil,SP,São Bernardo do Campo/SP,3548708,1,2
2020-03-16,Brazil,CE,Fortaleza/CE,2304400,5,8
2020-03-16,Brazil,MG,Coronel Fabriciano/MG,3119401,1,1
2020-03-16,Brazil,SP,Mauá/SP,3529401,1,1
2020-03-16,Brazil,CE,Aquiraz/CE,2301000,1,1
2020-03-16,Brazil,MG,Belo Horizonte/MG,3106200,1,1
2020-03-16,Brazil,GO,Anápolis/GO,5201108,2,2
2020-03-16,Brazil,BA,Porto Seguro/BA,2925303,1,1
2020-03-16,Brazil,PE,Belo Jardim/PE,2601706,1,1
2020-03-16,Brazil,PE,Jaboatão dos Guararapes/PE,2607901,1,1
2020-03-16,Brazil,RJ,Barra Mansa/RJ,3300407,0,1
2020-03-16,Brazil,BA,Feira de Santana/BA,2910800,0,5
2020-03-16,Brazil,AL,Maceió/AL,2704302,0,1
2020-03-16,Brazil,SP,Santana de Parnaíba/SP,3547304,0,1
2020-03-16,Brazil,MG,Divinópolis/MG,3122306,0,1
2020-03-16,Brazil,RJ,Niterói/RJ,3303302,0,1
2020-03-16,Brazil,RS,Campo Bom/RS,4303905,0,1
2020-03-16,Brazil,PR,Cianorte/PR,4105508,0,1
2020-03-16,Brazil,SP,Ferraz de Vasconcelos/SP,3515707,0,1
2020-03-16,Brazil,MG,Ipatinga/MG,3131307,0,1
2020-03-16,Brazil,RN,Natal/RN,2408102,0,1
2020-03-16,Brazil,BA,Salvador/BA,2927408,0,4
2020-03-16,Brazil,AM,Manaus/AM,1302603,0,1
2020-03-16,Brazil,SC,Joinville/SC,4209102,0,1
2020-03-16,Brazil,SC,Rancho Queimado/SC,4214300,0,2
2020-03-16,Brazil,MG,Patrocínio/MG,3148103,0,1
2020-03-16,Brazil,ES,Linhares/ES,3203205,0,1
2020-03-16,Brazil,ES,Vitória/ES,3205309,0,1
2020-03-16,Brazil,SP,Carapicuíba/SP,3510609,0,1
2020-03-16,Brazil,SC,Braço do Norte/SC,4202800,0,1
2020-03-16,Brazil,SP,São Caetano do Sul/SP,3548807,0,1
2020-03-16,Brazil,TOTAL,TOTAL,0,70,301
2020-03-17,Brazil,SP,São Paulo/SP,3550308,11,156
2020-03-17,Brazil,RJ,Rio de Janeiro/RJ,3304557,3,32
2020-03-17,Brazil,DF,Brasília/DF,5300108,7,26
2020-03-17,Brazil,RJ,Niterói/RJ,3303302,5,6
2020-03-17,Brazil,RS,Porto Alegre/RS,4314902,8,16
2020-03-17,Brazil,PE,Recife/PE,2611606,1,14
2020-03-17,Brazil,PR,Cianorte/PR,4105508,1,2
2020-03-17,Brazil,GO,Rio Verde/GO,5218805,1,3
2020-03-17,Brazil,BA,Salvador/BA,2927408,3,7
